,Gender,Married,Education,Self_Employed,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area_Rural,Property_Area_Semiurban,Property_Area_Urban,Dependents_0,Dependents_1,Dependents_2,Dependents_3+,TotalIncome_log,Loan_Status
130,1,0,1,0,118.0,360.0,0,1,0,0,1,0,0,0,8.744663369367945,0
131,1,1,1,1,152.0,360.0,1,1,0,0,1,0,0,0,8.752581469146884,1
132,1,0,1,0,244.0,360.0,1,0,0,1,1,0,0,0,9.123267174893913,0
133,1,1,0,0,113.0,360.0,1,1,0,0,0,0,1,0,7.7324130617442925,0
134,1,0,1,0,50.0,360.0,1,0,0,1,1,0,0,0,8.087671018714282,1
136,1,1,1,0,187.0,360.0,1,0,0,1,0,1,0,0,9.163049583181486,1
137,1,0,1,0,120.0,360.0,1,1,0,0,1,0,0,0,8.529714471969909,1
138,1,1,1,0,255.0,360.0,1,0,1,0,1,0,0,0,9.23092700558457,1
139,1,1,0,0,98.0,360.0,1,0,1,0,1,0,0,0,7.973844375944687,1
140,1,1,1,0,275.0,360.0,1,0,0,1,1,0,0,0,8.978799158794216,0
141,1,1,1,0,121.0,360.0,0,0,1,0,0,1,0,0,8.382289428951436,0
142,1,1,1,0,158.0,360.0,1,1,0,0,0,0,1,0,8.633018756921828,1
143,1,1,1,0,75.0,180.0,1,0,0,1,1,0,0,0,9.140250470400275,1
144,1,1,1,0,182.0,360.0,1,1,0,0,1,0,0,0,8.835355971121606,1
145,0,1,1,0,112.0,360.0,1,1,0,0,1,0,0,0,8.430130904039787,0
146,1,1,1,0,129.0,360.0,1,1,0,0,1,0,0,0,8.660773919893762,1
147,1,0,1,0,63.0,480.0,0,0,1,0,1,0,0,0,7.712935663217859,0
148,1,1,1,0,200.0,360.0,1,0,1,0,0,0,1,0,8.98720932058385,1
149,1,1,0,0,95.0,360.0,1,1,0,0,1,0,0,0,8.185628891147607,1
151,1,1,0,0,81.0,180.0,1,1,0,0,0,0,0,1,8.166812681611626,0
152,1,1,1,0,187.0,360.0,1,0,1,0,1,0,0,0,9.335474102732949,1
153,1,1,0,1,87.0,360.0,1,0,1,0,1,0,0,0,8.533066540572527,0
154,1,1,1,0,116.0,360.0,1,1,0,0,1,0,0,0,8.605387202152153,1
155,1,1,1,0,101.0,360.0,1,1,0,0,0,0,1,0,8.20631072579402,1
157,1,1,1,0,116.0,360.0,1,0,1,0,0,1,0,0,8.229537785275573,1
158,1,0,0,0,102.0,480.0,0,0,0,1,1,0,0,0,8.238536930171769,0
159,1,1,1,0,180.0,360.0,0,0,0,1,0,1,0,0,9.521494800613105,0
160,1,1,1,0,73.0,180.0,1,0,1,0,1,0,0,0,8.43383332137133,1
162,0,1,1,0,108.0,360.0,1,0,1,0,1,0,0,0,8.195637153115179,1
164,1,1,1,1,66.0,300.0,0,1,0,0,0,1,0,0,7.686208216121182,0
165,1,1,1,1,168.0,360.0,1,1,0,0,1,0,0,0,8.694502206386648,1
166,1,1,1,0,188.0,180.0,1,1,0,0,1,0,0,0,9.140786628944474,1
167,1,0,0,0,48.0,360.0,1,1,0,0,1,0,0,0,8.493945035096427,1
168,1,0,1,0,164.0,360.0,1,0,1,0,1,0,0,0,9.392670262068748,0
169,1,1,0,0,160.0,360.0,1,0,0,1,1,0,0,0,8.705016253804798,0
170,1,0,1,0,76.0,360.0,1,0,1,0,1,0,0,0,8.257930113295641,1
171,1,0,1,0,120.0,360.0,1,1,0,0,1,0,0,0,8.340718508294193,1
172,1,1,1,0,170.0,360.0,1,0,1,0,0,1,0,0,8.649623978596727,0
173,1,0,1,0,187.0,360.0,1,1,0,0,1,0,0,0,9.399554785027307,1
174,0,0,0,0,120.0,360.0,1,0,0,1,1,0,0,0,8.35983738064003,1
175,1,0,1,1,83.0,360.0,1,0,0,1,1,0,0,0,9.305659642648276,0
176,1,1,0,0,90.0,360.0,1,0,1,0,0,1,0,0,8.536995818712418,1
177,1,0,1,0,166.0,360.0,0,0,1,0,0,0,1,0,8.501693692369287,1
178,1,1,0,0,135.0,360.0,1,0,0,1,0,1,0,0,8.430109084509125,1
179,1,1,0,0,124.0,360.0,1,0,1,0,0,0,1,0,8.273106863082102,1
180,0,0,0,0,120.0,360.0,1,0,1,0,1,0,0,0,8.391199036600835,1
181,0,0,1,0,80.0,360.0,1,0,0,1,1,0,0,0,8.084593240900755,1
182,1,0,0,0,55.0,360.0,1,1,0,0,1,0,0,0,8.780480107033297,1
183,1,0,1,0,59.0,360.0,1,0,0,1,1,0,0,0,7.81565087006791,1
184,1,0,1,0,127.0,360.0,1,0,1,0,1,0,0,0,8.136840120122928,0
185,0,0,1,0,214.0,360.0,1,0,1,0,1,0,0,0,9.210350371926182,0
186,1,1,1,0,128.0,360.0,0,0,1,0,0,0,0,1,8.451053388911692,0
187,1,1,1,1,240.0,360.0,1,0,0,1,0,1,0,0,8.960223797410544,1
188,1,1,0,1,130.0,360.0,1,1,0,0,0,0,0,1,8.648765165633705,1
189,1,1,1,0,137.0,360.0,1,0,0,1,1,0,0,0,8.731336360533149,1
190,1,1,0,0,100.0,360.0,1,0,1,0,0,0,0,1,8.483222671845084,1
191,1,1,1,0,135.0,360.0,1,1,0,0,1,0,0,0,7.575584651557793,0
192,1,1,1,0,131.0,360.0,1,0,1,0,1,0,0,0,8.61286694148452,1
193,1,1,1,0,72.0,360.0,0,0,1,0,0,0,1,0,8.517213191216241,0
194,1,1,1,0,60.0,360.0,0,0,0,1,1,0,0,0,7.705757847644463,0
195,1,1,1,0,116.0,360.0,1,0,1,0,0,0,1,0,8.65277248565806,1
196,1,0,1,0,144.0,360.0,1,0,1,0,1,0,0,0,8.659039915644474,1
197,1,1,1,0,175.0,360.0,1,0,1,0,1,0,0,0,9.058121158998672,1
198,1,1,1,0,128.0,360.0,1,0,1,0,1,0,0,0,8.740352742602449,1
199,1,1,1,0,170.0,360.0,1,1,0,0,1,0,0,0,8.08644104408119,0
200,1,1,0,1,138.0,360.0,1,0,0,1,1,0,0,0,8.46275812472135,0
201,1,1,1,0,210.0,360.0,1,0,1,0,0,0,1,0,8.980298078970817,1
202,1,1,1,0,158.0,480.0,1,0,1,0,1,0,0,0,8.467603707876176,1
203,1,0,1,1,200.0,360.0,1,1,0,0,1,0,0,0,8.764068894225694,1
204,1,1,1,0,104.0,360.0,1,0,1,0,0,1,0,0,8.421783006611578,1
205,1,1,1,0,42.0,180.0,1,1,0,0,1,0,0,0,8.220430010228263,1
206,1,0,0,0,120.0,360.0,1,1,0,0,1,0,0,0,8.663369301573839,1
207,0,0,1,0,280.0,360.0,1,0,1,0,1,0,0,0,9.02799081479022,1
208,1,1,1,0,140.0,360.0,1,0,1,0,0,1,0,0,8.503905297089302,1
209,1,1,1,0,170.0,360.0,1,1,0,0,0,1,0,0,8.81877816903701,1
210,0,0,1,0,112.0,360.0,1,1,0,0,0,1,0,0,8.245935497378598,1
211,1,1,1,0,96.0,360.0,1,0,1,0,0,1,0,0,8.1062430680775,1
212,1,1,1,0,120.0,360.0,1,1,0,0,0,0,1,0,9.289059126687574,1
213,1,1,0,0,140.0,180.0,1,0,0,1,0,1,0,0,8.41027590907016,0
214,1,0,1,0,155.0,60.0,1,0,0,1,1,0,0,0,9.067162602299854,1
215,1,1,1,1,108.0,360.0,1,1,0,0,0,0,1,0,8.92930284224307,1
216,1,1,0,0,123.0,360.0,1,0,1,0,1,0,0,0,8.96482339168508,1
217,1,0,1,1,120.0,180.0,1,0,0,1,1,0,0,0,9.247925132303454,0
218,1,1,1,0,112.0,360.0,1,0,0,1,0,0,1,0,9.180200701063091,1
219,1,1,0,0,137.0,180.0,1,0,0,1,0,1,0,0,8.796051448258222,1
220,1,1,1,0,123.0,480.0,1,0,1,0,0,1,0,0,8.460622839927844,1
221,1,1,1,0,90.0,360.0,1,0,0,1,1,0,0,0,8.209852481301272,1
222,1,1,0,0,201.0,360.0,0,0,1,0,1,0,0,0,8.62299361030245,0
223,0,0,1,0,138.0,360.0,1,0,0,1,0,0,1,0,8.139469701489732,0
224,1,0,0,1,104.0,360.0,1,1,0,0,1,0,0,0,8.465899897028686,1
225,1,1,0,0,279.0,180.0,1,0,1,0,0,1,0,0,9.186252576447092,1
226,1,0,1,1,192.0,360.0,0,0,0,1,1,0,0,0,9.695854341585102,0
227,0,0,1,0,255.0,360.0,1,1,0,0,0,0,0,1,8.033690863299137,1
228,1,0,0,0,115.0,360.0,0,1,0,0,1,0,0,0,8.707003305509254,0
229,1,1,1,0,94.0,360.0,1,0,0,1,0,0,0,1,8.566002403023314,0
231,1,0,1,0,134.0,360.0,1,0,1,0,1,0,0,0,8.359134886757962,1
232,0,0,1,0,155.0,36.0,1,0,1,0,0,1,0,0,8.155103614776007,0
233,0,0,1,0,120.0,360.0,1,1,0,0,1,0,0,0,8.881850193796586,1
234,1,0,1,1,128.0,360.0,1,0,1,0,1,0,0,0,8.549873330804866,1
235,1,0,1,0,151.0,360.0,1,1,0,0,1,0,0,0,8.928242677818302,1
236,1,1,1,0,150.0,360.0,1,0,1,0,0,0,1,0,8.715224041915372,1
237,1,1,1,0,160.0,360.0,0,0,0,1,0,0,0,1,8.723231274827508,1
238,0,0,1,0,135.0,360.0,1,1,0,0,1,0,0,0,8.136840120122928,0
239,0,0,1,0,90.0,360.0,1,0,0,1,0,1,0,0,8.397508348470257,1
240,0,0,1,0,30.0,360.0,1,0,0,1,1,0,0,0,8.082433146251049,1
241,1,1,1,0,136.0,360.0,1,0,0,1,1,0,0,0,9.318844939917694,1
242,1,0,1,0,126.0,360.0,1,1,0,0,1,0,0,0,8.453187861440325,1
243,1,1,1,0,150.0,360.0,1,0,1,0,1,0,0,0,8.48528964240323,1
244,1,1,1,0,90.0,360.0,1,0,1,0,0,0,1,0,8.268757472814654,1
245,1,1,1,0,115.0,360.0,1,0,1,0,0,1,0,0,8.432070937999402,1
246,1,1,1,0,207.0,360.0,1,0,1,0,1,0,0,0,8.891098830616636,1
247,1,1,1,0,80.0,360.0,1,0,0,1,1,0,0,0,8.390041405755754,1
249,1,0,0,1,158.0,360.0,0,0,0,1,0,1,0,0,8.776321456449958,0
250,1,1,1,0,112.0,360.0,1,0,1,0,1,0,0,0,8.461046030793236,1
251,1,1,1,0,78.0,180.0,1,0,0,1,0,0,1,0,8.097669722345216,1
252,0,0,1,0,54.0,360.0,1,0,0,1,1,0,0,0,8.153925132007862,1
253,1,0,1,0,89.0,360.0,1,1,0,0,1,0,0,0,8.734077192559303,1
254,0,0,1,1,99.0,300.0,1,0,1,0,1,0,0,0,8.370315995555478,0
255,1,1,1,0,120.0,360.0,1,1,0,0,1,0,0,0,8.648922962094131,1
256,0,0,1,0,115.0,360.0,1,0,1,0,1,0,0,0,8.324603093145484,1
257,1,0,1,0,187.0,360.0,1,1,0,0,1,0,0,0,9.159899345883758,1
258,1,1,1,0,139.0,360.0,1,1,0,0,1,0,0,0,8.610865667278873,1
259,1,1,1,0,127.0,360.0,0,0,1,0,0,0,1,0,8.38938254692082,0
260,1,1,1,0,134.0,360.0,1,0,0,1,0,0,1,0,8.45807992692373,1
261,0,0,1,0,143.0,480.0,0,0,0,1,1,0,0,0,8.597315895889945,0
262,1,1,1,0,172.0,360.0,1,0,1,0,1,0,0,0,8.651199471263972,1
263,1,1,1,0,110.0,360.0,1,0,0,1,0,0,0,1,8.642238680390461,1
264,1,1,1,0,200.0,360.0,1,0,1,0,0,1,0,0,8.835661467883533,1
265,0,1,1,0,135.0,360.0,1,0,0,1,0,1,0,0,8.448078883984811,1
266,0,0,1,0,151.0,480.0,1,1,0,0,1,0,0,0,8.928110078202646,0
267,1,1,1,0,113.0,360.0,1,0,0,1,0,1,0,0,8.504918160540624,0
268,1,1,0,0,93.0,360.0,0,0,0,1,1,0,0,0,8.46252579007393,0
269,1,1,0,0,105.0,360.0,1,0,1,0,1,0,0,0,8.439231649946526,1
270,0,0,1,0,132.0,360.0,1,1,0,0,1,0,0,0,8.517213191216241,1
271,1,1,1,0,96.0,360.0,1,0,0,1,0,1,0,0,8.13973227971767,1
272,1,0,1,0,140.0,360.0,1,1,0,0,1,0,0,0,8.779557455883728,1
273,0,0,1,0,135.0,360.0,1,1,0,0,1,0,0,0,8.59932602095476,1
274,0,0,1,0,104.0,360.0,0,0,0,1,1,0,0,0,8.35772841676521,0
276,0,0,1,0,84.0,360.0,1,0,1,0,1,0,0,0,7.9783452510764805,1
277,1,0,0,0,111.0,360.0,1,0,1,0,1,0,0,0,8.5814816812986,1
278,0,0,1,0,56.0,360.0,1,1,0,0,1,0,0,0,7.8268819856755005,1
279,1,1,1,0,159.0,360.0,1,1,0,0,1,0,0,0,8.370084326378025,0
280,1,1,0,0,111.0,180.0,1,0,0,1,0,1,0,0,8.524962928680598,1
281,1,1,1,0,120.0,360.0,1,0,1,0,0,0,1,0,8.220699073352096,1
282,1,1,1,1,155.0,360.0,1,1,0,0,0,1,0,0,9.210350371926182,0
283,1,1,1,0,115.0,360.0,1,0,1,0,1,0,0,0,8.426611813185,1
284,1,1,1,0,124.0,360.0,1,0,1,0,0,0,0,1,8.418697944667139,1
285,1,1,1,0,300.0,360.0,1,1,0,0,0,0,0,1,9.615812146728791,1
287,1,0,1,0,130.0,360.0,0,1,0,0,1,0,0,0,8.500474204809363,1
288,1,1,1,1,184.0,360.0,1,0,1,0,1,0,0,0,8.984443032465352,1
289,0,1,1,0,110.0,360.0,1,0,0,1,1,0,0,0,8.822322177471738,0
290,0,0,1,0,67.0,360.0,1,0,0,1,1,0,0,0,7.824086010056313,1
291,1,0,1,0,117.0,360.0,1,0,0,1,0,1,0,0,8.728587995695898,1
292,1,0,1,0,98.0,360.0,1,0,1,0,1,0,0,0,7.98449680323203,1
293,1,0,1,0,71.0,360.0,1,0,0,1,1,0,0,0,7.949126797477932,1
295,1,1,1,1,182.0,180.0,1,0,0,1,0,1,0,0,9.364433907313582,1
296,1,1,1,1,70.0,360.0,1,0,1,0,1,0,0,0,9.209640126861789,1
297,1,1,1,0,160.0,360.0,1,1,0,0,0,1,0,0,8.689127655323706,1
298,1,1,1,1,176.0,360.0,1,1,0,0,0,0,1,0,8.867850063029406,1
299,0,0,1,0,71.0,360.0,1,0,1,0,1,0,0,0,8.333294391427929,1
300,1,1,0,0,173.0,360.0,1,1,0,0,0,0,0,1,8.350902451694811,0
301,0,0,1,0,46.0,360.0,1,1,0,0,1,0,0,0,7.774057128511219,0
302,1,1,0,0,158.0,360.0,1,0,0,1,0,1,0,0,8.662677858158219,1
303,1,1,0,0,74.0,360.0,1,0,1,0,0,0,0,1,8.062464307002116,1
304,1,1,1,0,125.0,360.0,1,1,0,0,0,0,1,0,8.499640032168648,1
305,1,1,1,0,160.0,360.0,1,0,1,0,1,0,0,0,8.508555998020574,1
306,1,1,0,0,152.0,360.0,0,1,0,0,1,0,0,0,8.817742129574842,0
307,1,1,0,0,126.0,360.0,1,0,0,1,0,0,1,0,8.566173813637858,1
308,1,1,1,0,187.0,360.0,1,1,0,0,1,0,0,0,9.090993614343617,1
309,1,1,1,0,228.0,360.0,1,0,1,0,1,0,0,0,9.114170823019942,1
311,1,1,1,0,95.0,360.0,1,1,0,0,0,0,0,1,8.465689348549121,1
312,0,1,1,1,105.0,360.0,0,1,0,0,1,0,0,0,8.612521552873456,0
313,0,1,1,0,130.0,360.0,1,0,1,0,1,0,0,0,7.982074875081202,1
314,0,0,1,0,116.0,180.0,1,0,0,1,1,0,0,0,8.246197785582378,1
315,1,1,1,0,165.0,360.0,1,1,0,0,0,0,1,0,9.350102314351341,1
316,1,1,1,0,67.0,360.0,1,0,0,1,0,1,0,0,8.26232674790608,0
317,1,1,0,0,100.0,480.0,0,0,0,1,1,0,0,0,8.448057452581375,0
318,1,1,1,0,200.0,360.0,1,0,1,0,0,0,0,1,9.0280988119824,1
319,0,0,1,0,81.0,360.0,1,0,1,0,0,1,0,0,8.460220642655246,0
320,1,1,1,0,236.0,360.0,1,0,1,0,0,0,1,0,9.067277989134345,1
321,1,1,1,0,130.0,360.0,1,0,0,1,1,0,0,0,8.865452825753623,1
322,1,0,1,1,141.0,360.0,1,1,0,0,1,0,0,0,8.827922621329087,1
323,1,0,0,0,133.0,360.0,1,1,0,0,1,0,0,0,8.734897979434168,0
324,1,0,1,0,96.0,480.0,1,0,1,0,1,0,0,0,7.824086010056313,0
325,1,0,1,0,124.0,360.0,0,1,0,0,1,0,0,0,8.541710178829312,0
326,1,1,1,0,175.0,360.0,1,0,1,0,0,1,0,0,8.75228112374742,1
328,0,0,1,1,55.0,360.0,1,0,1,0,1,0,0,0,9.665173255182241,1
